Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Echelon
Azerbaijan,AZE,2017,1.8070674,Very Low
Azerbaijan,AZE,2018,1.9404047,Very Low
Azerbaijan,AZE,2019,1.6417869,Very Low
Azerbaijan,AZE,2020,2.236277,Low
Azerbaijan,AZE,2021,1.9102119,Very Low
Bahrain,BHR,1995,0.8157485,Undefined
Bahrain,BHR,1996,1.2643104,Very Low
Bahrain,BHR,1997,0.9193395,Undefined
Bahrain,BHR,2001,1.2324429,Very Low
Bahrain,BHR,2002,1.069055,Very Low
Bahrain,BHR,2007,0.38441873,Undefined
Bahrain,BHR,2008,0.5403733,Undefined
Bahrain,BHR,2009,1.1022063,Very Low
Bahrain,BHR,2010,0.1647929,Undefined
Bahrain,BHR,2011,0.99003613,Undefined
Bahrain,BHR,2012,0.7347302,Undefined
Bahrain,BHR,2013,0.87185824,Undefined
Bahrain,BHR,2014,0.6864284,Undefined
Bahrain,BHR,2015,0.22024135,Undefined
Bahrain,BHR,2016,0.28375617,Undefined
Bahrain,BHR,2017,0.411852,Undefined
Bahrain,BHR,2018,0.33617073,Undefined
Bahrain,BHR,2019,0.26770383,Undefined
Bahrain,BHR,2020,0.0,Undefined
Bahrain,BHR,2021,0.068340294,Undefined
Bangladesh,BGD,2000,2.587595,Low
Bangladesh,BGD,2001,2.7933366,Low
Bangladesh,BGD,2002,2.611454,Low
Bangladesh,BGD,2003,2.5427973,Low
Bangladesh,BGD,2004,2.8114474,Low
Bangladesh,BGD,2005,2.549098,Low
Bangladesh,BGD,2006,2.9208682,Low
Bangladesh,BGD,2007,2.6801088,Low
Bangladesh,BGD,2008,2.8187065,Low
Bangladesh,BGD,2009,2.8758037,Low
Bangladesh,BGD,2010,2.687492,Low
Bangladesh,BGD,2011,2.640286,Low
Bangladesh,BGD,2012,2.7049658,Low
Bangladesh,BGD,2013,2.8520393,Low
Bangladesh,BGD,2014,2.8943079,Low
Bangladesh,BGD,2015,2.556548,Low
Bangladesh,BGD,2016,2.247401,Low
Bangladesh,BGD,2017,2.1935306,Low
Bangladesh,BGD,2018,2.339875,Low
Barbados,BRB,1990,13.134107,High
Barbados,BRB,1991,8.095543,Medium
Barbados,BRB,1992,8.454628,Medium
Barbados,BRB,1993,8.046116,Medium
Barbados,BRB,1994,7.6420026,Medium
Barbados,BRB,1995,6.481042,Medium
Barbados,BRB,1998,7.586059,Medium
Barbados,BRB,1999,8.706532,Medium
Barbados,BRB,2000,7.556951,Medium
Barbados,BRB,2001,9.420578,Medium
Barbados,BRB,2002,9.382447,Medium
Barbados,BRB,2003,12.336494,High
